F1: Shifted and Rotated Bent Cigar,F2: Shifted and Rotated Zakharov Function,F3: Shifted and Rotated Rosenbrock’s Function,F4: Shifted and Rotated Rastrigin’s Function,F5: Shifted and Rotated Schaffer’s F7 Function,F6: Shifted and Rotated Lunacek Bi-Rastrigin’s Function,F7: Shifted and Rotated Non-Continuous Rastrigin’s Function,F8: Shifted and Rotated Levy Function,F9: Shifted and Rotated Schwefel’s Function,F10: Hybrid Function 1,F11: Hybrid Function 2,F12: Hybrid Function 3,F13: Hybrid Function 4,F14: Hybrid Function 5,F15: Hybrid Function 6,F16: Hybrid Function 7,F17: Hybrid Function 8,F18: Hybrid Function 9,F19: Hybrid Function 10,F20: Composition Function 1
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
37133806337.18226,48899.77033986251,7326.822344564578,43787.956718642956,0.01435116942799988,9106.02937788926,1.9420906055560303,18.71601714340432,3648.9456305520125,10537681.79239538,2661667072.8324733,6624264441.488345,3477717.2699060794,911348729.8120054,47771485.62182119,67907279.78422676,123994.94546608477,229147354347.96707,4158.90284923768,9021.540149016002
