trial_1
0.000128
0.000112
0.000112
0.0001
0.0001
0.0001
0.0001
0.0001
0.0001
9.4e-05
9.4e-05
9.4e-05
9.4e-05
9.4e-05
9.4e-05
9.4e-05
9.4e-05
9.4e-05
8.3e-05
8.3e-05
8.3e-05
8.3e-05
8.3e-05
8e-05
8e-05
8e-05
8e-05
8e-05
8e-05
8e-05
